Row,Serum Starved Up Regulated,Serum Starved Down Regulated,Serum Replenishment Up Regulated,Serum Replenishment Down Regulated
1,EHI_189960,EHI_161200,EHI_095820,EHI_054720
2,EHI_154270,EHI_068110,EHI_131880,EHI_092190
3,EHI_073480,EHI_095820,EHI_197340,EHI_120360
4,EHI_009930,EHI_045080,EHI_183000,EHI_148580
5,EHI_118110,EHI_101730,EHI_163240,EHI_130860
6,EHI_156390,EHI_131360,EHI_172850,EHI_023890
7,EHI_062750,EHI_139080,EHI_080200,EHI_154270
8,EHI_054720,EHI_039020,EHI_101280,EHI_055680
9,EHI_041465,EHI_112870,EHI_186470,EHI_164460
10,EHI_066970,EHI_014030,EHI_153680,EHI_185240
11,EHI_194600,EHI_158570,EHI_099700,EHI_050290
12,EHI_006885,EHI_093870,EHI_062790,EHI_023300
13,EHI_008130,EHI_074090,EHI_156310,EHI_056490
14,EHI_112490,EHI_186810,EHI_029560,EHI_155570
15,EHI_151800,EHI_105060,EHI_010850,EHI_093330
16,EHI_022950,EHI_165270,EHI_115710,EHI_151260
17,EHI_126170,EHI_070720,,EHI_193390
18,EHI_130710,EHI_150490,,EHI_153710
19,EHI_153710,EHI_160940,,EHI_137110
20,EHI_174250,EHI_080200,,
21,EHI_177460,EHI_157120,,
22,EHI_058330,EHI_156240,,
23,EHI_008350,EHI_096710,,
24,EHI_155580,EHI_012360,,
25,EHI_121870,EHI_186470,,
26,EHI_020610,EHI_084690,,
27,EHI_197070,EHI_163240,,
28,EHI_009590,EHI_098180,,
29,EHI_126260,EHI_142720,,
30,EHI_040600,EHI_172850,,
31,EHI_105080,EHI_151440,,
32,EHI_020250,EHI_073380,,
33,EHI_079300,EHI_143580,,
34,EHI_013170,EHI_152650,,
35,EHI_153000,EHI_074180,,
36,EHI_092190,EHI_027800,,
37,EHI_040260,EHI_141000,,
38,EHI_117970,EHI_024240,,
39,EHI_182610,EHI_026360,,
40,EHI_134640,EHI_131880,,
41,EHI_100480,EHI_105140,,
42,EHI_152430,EHI_104360,,
43,EHI_148580,EHI_189510,,
44,EHI_008360,EHI_044610,,
45,EHI_137090,EHI_030810,,
46,EHI_055680,EHI_004600,,
47,EHI_126270,EHI_110520,,
48,EHI_182520,EHI_068120,,
49,EHI_054240,EHI_073660,,
50,EHI_162570,EHI_167270,,
51,EHI_058470,EHI_050650,,
52,EHI_118640,EHI_052770,,
53,EHI_042260,EHI_068090,,
54,EHI_008190,EHI_015380,,
55,EHI_009370,EHI_169580,,
56,EHI_127170,EHI_029560,,
57,EHI_158610,EHI_146330,,
58,EHI_044190,EHI_111790,,
59,EHI_151810,EHI_198620,,
60,EHI_008770,EHI_127830,,
61,EHI_038330,EHI_195130,,
62,EHI_197060,EHI_103450,,
63,EHI_126990,EHI_000440,,
64,EHI_025710,EHI_069570,,
65,EHI_126160,EHI_051730,,
66,EHI_143110,EHI_183460,,
67,EHI_142250,EHI_166490,,
68,EHI_199590,EHI_165350,,
69,EHI_166810,EHI_130930,,
70,EHI_020210,EHI_050570,,
71,EHI_009800,EHI_105330,,
72,EHI_166440,EHI_010060,,
73,EHI_040310,EHI_000730,,
74,EHI_141360,EHI_142150,,
75,EHI_014000,EHI_155730,,
76,EHI_110620,EHI_044970,,
77,EHI_194390,EHI_054690,,
78,EHI_118440,EHI_156230,,
79,EHI_111080,EHI_067920,,
80,EHI_080720,EHI_010070,,
81,EHI_133950,EHI_096750,,
82,EHI_110500,EHI_101280,,
83,EHI_130670,EHI_062790,,
84,EHI_039830,EHI_008110,,
85,EHI_131490,EHI_047730,,
86,EHI_045610,EHI_107210,,
87,EHI_197530,EHI_094030,,
88,EHI_023470,EHI_100280,,
89,EHI_160710,EHI_103690,,
90,EHI_045310,EHI_110810,,
91,,EHI_106090,,
92,,EHI_164900,,
93,,EHI_010690,,
94,,EHI_152760,,
95,,EHI_073600,,
96,,EHI_098210,,
97,,EHI_193360,,
98,,EHI_110250,,
99,,EHI_027700,,
100,,EHI_138750,,
101,,EHI_023260,,
102,,EHI_054530,,
103,,EHI_073580,,
104,,EHI_035800,,
105,,EHI_191900,,
106,,EHI_183400,,
107,,EHI_111610,,
